Player,Bye,Pts,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Jake Bobo,5,50,0,0,0,0,0,0,1,3,1,0,19,196,2,0,0,0
Josh Oliver,13,50,0,0,0,0,0,0,0,0,0,0,22,213,2,0,1,0
Michael Carter,14,49,0,0,0,0,0,0,30,187,0,0,24,101,1,0,0,0
Zach Ertz,9,49,0,0,0,0,0,0,0,0,0,0,27,187,1,0,0,0
Skyy Moore,10,49,0,0,0,0,0,0,3,23,0,0,21,244,1,0,0,0
Jamaal Williams,11,49,0,0,0,0,0,0,106,306,1,0,18,62,0,0,0,0
Mike Williams,5,49,0,0,0,0,0,0,1,3,0,0,19,249,1,0,0,0
Chase Brown,7,48,0,0,0,0,0,0,44,179,0,0,14,156,1,0,0,0
Calvin Austin,6,47,0,0,0,0,0,0,11,57,1,0,17,180,1,0,0,0
Jauan Jennings,9,47,0,0,0,0,0,0,0,0,0,0,19,265,1,0,0,0
Kadarius Toney,10,47,1,0,0,0,0,0,11,31,0,0,27,169,1,0,0,0
Mo Alie-Cox,11,46,0,0,0,0,0,0,0,0,0,0,13,161,3,1,0,0
Xavier Gipson,7,46,0,0,0,0,0,0,8,68,1,0,21,229,0,0,2,0
Andrei Iosivas,7,46,0,0,0,0,0,0,0,0,0,0,15,116,4,0,0,0
Brevin Jordan,7,46,0,0,0,0,0,0,0,0,0,0,17,219,2,0,0,0
Drew Sample,7,46,0,0,0,0,0,0,0,0,0,0,22,163,2,0,0,0
David Bell,5,45,0,0,0,0,0,0,0,0,0,0,14,167,3,0,0,0
Elijah Mitchell,9,45,0,0,0,0,0,0,75,281,2,0,6,14,0,0,0,0
Daniel Bellinger,13,44,0,0,0,0,0,0,0,0,0,0,25,255,0,0,0,0
Lil'Jordan Humphrey,9,44,0,0,0,0,0,0,0,0,0,0,13,162,3,0,0,0
Hunter Renfrow,13,44,0,0,0,0,0,0,0,0,0,0,25,255,0,0,1,0
Mason Rudolph,6,44,74,55,719,3,0,0,10,8,0,0,0,0,0,0,1,0
Bo Melton,6,43,0,0,0,0,0,0,3,21,0,0,16,218,1,0,0,0
Royce Freeman,10,42,0,0,0,0,0,0,77,319,2,0,1,13,0,0,0,0
Austin Hooper,13,42,0,0,0,0,0,0,0,0,0,0,25,234,0,0,0,0
Foster Moreau,11,42,0,0,0,0,0,0,0,0,0,0,21,193,1,0,0,0
Cam Akers,13,41,0,0,0,0,0,0,60,167,2,0,11,70,0,0,0,0
Alex Erickson,5,41,0,0,0,0,0,0,0,0,0,0,16,232,1,0,0,0
Jordan Mason,9,41,0,0,0,0,0,0,40,206,3,0,3,31,0,0,0,0
Darrell Henderson,10,40,0,0,0,0,0,0,46,112,2,0,10,103,0,0,0,0
Mack Hollins,11,40,0,0,0,0,0,0,0,0,0,0,18,251,0,0,0,0
Hayden Hurst,7,40,0,0,0,0,0,0,0,0,0,0,18,184,1,0,0,0
Cedric Tillman,5,40,0,0,0,0,0,0,1,8,0,0,21,224,0,0,0,0
Jamal Agnew,9,39,0,0,0,0,0,0,4,-2,0,0,14,225,1,0,1,0
Matt Breida,13,39,0,0,0,0,0,0,55,151,1,0,17,88,0,0,0,0
Kendre Miller,11,39,0,0,0,0,0,0,41,156,1,0,10,117,0,0,0,0
Salvon Ahmed,10,38,0,0,0,0,0,0,22,61,1,0,16,88,1,0,0,0
Pierre Strong,5,38,0,0,0,0,0,0,63,291,1,0,5,47,0,0,1,0
Parker Washington,9,38,0,0,0,0,0,0,0,0,0,0,16,132,2,0,1,0
Pharaoh Brown,11,36,0,0,0,0,0,0,0,0,0,0,13,208,1,0,1,0
Connor Heyward,6,36,1,0,0,0,0,0,1,0,0,0,23,167,0,0,0,0
Scott Miller,11,36,0,0,0,0,0,0,0,0,0,0,11,161,2,0,0,0
Jeffery Wilson,10,36,0,0,0,0,0,0,41,188,0,0,14,85,0,0,0,0
Harrison Bryant,5,35,0,0,0,0,0,0,5,8,0,0,13,81,3,0,1,0
Treylon Burks,7,35,0,0,0,0,0,0,5,18,0,0,16,221,0,0,0,0
Jamison Crowder,14,35,0,0,0,0,0,0,0,0,0,0,16,159,1,0,1,0
Will Dissly,5,35,0,0,0,0,0,0,0,0,0,0,17,172,1,0,0,0
Van Jefferson,11,35,0,0,0,0,0,0,1,4,0,0,20,209,0,0,0,0
