Rk,Player,Tm,FantPos,Age,G,GS,Cmp,PassAtt,PassYds,PassTD,Int,RushAtt,RushYds,Y/A,RushTD,Tgt,Rec,RecYds,Y/R,RecTD,Fmb,FL,TD,2:00 PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Year
310,Craig Reynolds,DET,RB,27,17,0,0,0,0,0,0,41,179,4.37,1,5,5,47,9.4,0,2,2,1,,,25,29.6,34.6,27.1,,82,,2023
311,Ihmir Smith-Marsette,CAR,WR,24,17,0,0,0,0,0,0,8,74,9.25,1,10,8,51,6.38,0,2,0,2,,,25,32.5,32.5,28.5,,124,,2023
312,Treylon Burks,TEN,WR,23,11,9,0,0,0,0,0,5,18,3.6,0,30,16,221,13.81,0,0,0,0,,,24,39.9,42.9,31.9,,125,,2023
313,Andy Dalton,CAR,QB,36,3,1,34,58,361,2,0,3,12,4,0,0,0,0,,0,0,0,0,,,24,23.6,26.6,23.6,,53,,2023
314,Hayden Hurst,CAR,TE,30,9,8,0,0,0,0,0,0,0,,0,32,18,184,10.22,1,0,0,1,,,24,42.4,45.4,33.4,,53,,2023
315,Hunter Renfrow,LVR,WR,28,17,3,0,0,0,0,0,0,0,,0,37,25,255,10.2,0,1,1,0,,,24,48.5,52.5,36,,126,,2023
316,Jacoby Brissett,WAS,QB,31,3,0,18,23,224,3,0,3,19,6.33,0,0,0,0,,0,0,0,0,,,23,22.9,22.9,22.9,,55,,2023
317,Dyami Brown,WAS,WR,24,17,1,1,1,4,0,0,1,0,0,0,23,12,168,14,1,0,0,1,,,23,35,38,29,,130,,2023
318,Sam Darnold,SFO,QB,26,10,1,28,46,297,2,1,21,15,0.71,1,0,0,0,,0,3,1,1,,,23,23.4,25.4,24.4,,54,,2023
319,Will Dissly,SEA,TE,27,16,14,0,0,0,0,0,0,0,,0,22,17,172,10.12,1,0,0,1,,,23,40.2,43.2,31.7,,55,,2023
320,Darrynton Evans,2TM,RB,25,7,0,0,0,0,0,0,32,121,3.78,1,12,7,49,7,0,0,0,1,,,23,30,33,26.5,,84,,2023
321,KhaDarel Hodge,ATL,WR,28,17,4,0,0,0,0,0,1,0,0,0,23,14,232,16.57,0,1,0,0,,,23,37.2,40.2,30.2,,127,,2023
322,Austin Hooper,LVR,TE,29,17,9,0,0,0,0,0,0,0,,0,31,25,234,9.36,0,0,0,0,,,23,48.4,51.4,35.9,,54,,2023
323,Johnny Mundt,MIN,TE,29,17,0,0,0,0,0,0,0,0,,0,23,17,172,10.12,1,0,0,1,,,23,40.2,43.2,31.7,,56,,2023
324,Cedric Tillman,CLE,WR,23,14,3,0,0,0,0,0,1,8,8,0,44,21,224,10.67,0,0,0,0,,,23,44.2,47.2,33.7,,128,,2023
325,Parker Washington,JAX,WR,21,9,1,0,0,0,0,0,0,0,,0,21,16,132,8.25,2,2,1,2,,,23,39.2,43.2,31.2,,129,,2023
326,Ameer Abdullah,LVR,RB,30,17,0,0,0,0,0,0,15,89,5.93,0,24,19,131,6.89,0,0,0,0,,,22,41,44,31.5,,85,,2023
327,Tank Bigsby,JAX,RB,22,17,0,0,0,0,0,0,50,132,2.64,2,4,1,6,6,0,2,2,2,,,22,22.8,27.8,22.3,,86,,2023
328,Elijah Higgins,ARI,TE,23,11,2,0,0,0,0,0,0,0,,0,19,14,163,11.64,1,0,0,1,,,22,36.3,39.3,29.3,,57,,2023
329,Jalen Reagor,NWE,WR,24,11,1,0,0,0,0,0,1,17,17,0,23,7,138,19.71,0,0,0,1,,,22,28.5,31.5,25,,131,,2023
